date,day,departure,jam_score,travel_time_min,departure_minutes,departure_hour,departure_slot_rank,day_of_week_num,is_weekend,year,month,month_name,week_of_year,quarter,records_that_day,is_complete_day,travel_time_vs_day_avg,travel_time_vs_overall_avg,congestion_level,travel_time_outlier
2025-10-31,Friday,08:30,83.5,10.78,510,8,1,4,False,2025,10,October,44,4,5,True,-0.26,-1.35,low,False
2025-10-31,Friday,08:40,84.8,10.62,520,8,2,4,False,2025,10,October,44,4,5,True,-0.42,-1.51,low,False
2025-10-31,Friday,08:50,85.4,10.53,530,8,3,4,False,2025,10,October,44,4,5,True,-0.51,-1.6,low,False
2025-10-31,Friday,09:00,86.4,10.42,540,9,4,4,False,2025,10,October,44,4,5,True,-0.62,-1.71,low,False
2025-10-31,Friday,09:10,87.0,10.35,550,9,5,4,False,2025,10,October,44,4,5,True,-0.69,-1.78,low,False
2025-11-03,Monday,08:30,61.6,14.6,510,8,1,0,False,2025,11,November,45,4,5,True,2.91,2.47,high,False
2025-11-03,Monday,08:40,63.3,14.22,520,8,2,0,False,2025,11,November,45,4,5,True,2.53,2.09,high,False
2025-11-03,Monday,08:50,69.3,12.98,530,8,3,0,False,2025,11,November,45,4,5,True,1.29,0.85,high,False
2025-11-03,Monday,09:00,71.2,12.63,540,9,4,0,False,2025,11,November,45,4,5,True,0.94,0.5,high,False
2025-11-03,Monday,09:10,71.7,12.55,550,9,5,0,False,2025,11,November,45,4,5,True,0.86,0.42,high,False
2025-11-04,Tuesday,08:30,52.2,17.25,510,8,1,1,False,2025,11,November,45,4,5,True,4.01,5.12,high,True
2025-11-04,Tuesday,08:40,50.6,17.78,520,8,2,1,False,2025,11,November,45,4,5,True,4.54,5.65,high,True
2025-11-04,Tuesday,08:50,57.4,15.67,530,8,3,1,False,2025,11,November,45,4,5,True,2.43,3.54,high,False
2025-11-04,Tuesday,09:00,67.3,13.37,540,9,4,1,False,2025,11,November,45,4,5,True,0.13,1.24,high,False
2025-11-04,Tuesday,09:10,65.7,13.7,550,9,5,1,False,2025,11,November,45,4,5,True,0.46,1.57,high,False
2025-11-05,Wednesday,08:30,54.0,16.67,510,8,1,2,False,2025,11,November,45,4,5,True,4.02,4.54,high,True
2025-11-05,Wednesday,08:40,50.9,17.67,520,8,2,2,False,2025,11,November,45,4,5,True,5.02,5.54,high,True
2025-11-05,Wednesday,08:50,57.0,15.8,530,8,3,2,False,2025,11,November,45,4,5,True,3.15,3.67,high,False
2025-11-05,Wednesday,09:00,64.5,13.95,540,9,4,2,False,2025,11,November,45,4,5,True,1.3,1.82,high,False
2025-11-05,Wednesday,09:10,64.8,13.88,550,9,5,2,False,2025,11,November,45,4,5,True,1.23,1.75,high,False
2025-11-06,Thursday,08:30,57.2,15.73,510,8,1,3,False,2025,11,November,45,4,5,True,3.61,3.6,high,False
2025-11-06,Thursday,08:40,53.9,16.7,520,8,2,3,False,2025,11,November,45,4,5,True,4.58,4.57,high,True
2025-11-06,Thursday,08:50,56.0,16.07,530,8,3,3,False,2025,11,November,45,4,5,True,3.95,3.94,high,False
2025-11-06,Thursday,09:00,62.3,14.45,540,9,4,3,False,2025,11,November,45,4,5,True,2.33,2.32,high,False
2025-11-06,Thursday,09:10,58.1,15.48,550,9,5,3,False,2025,11,November,45,4,5,True,3.36,3.35,high,False
2025-11-07,Friday,08:30,76.4,11.78,510,8,1,4,False,2025,11,November,45,4,5,True,0.74,-0.35,medium,False
2025-11-07,Friday,08:40,76.5,11.77,520,8,2,4,False,2025,11,November,45,4,5,True,0.73,-0.36,medium,False
2025-11-07,Friday,08:50,78.6,11.45,530,8,3,4,False,2025,11,November,45,4,5,True,0.41,-0.68,medium,False
2025-11-07,Friday,09:00,80.2,11.2,540,9,4,4,False,2025,11,November,45,4,5,True,0.16,-0.93,medium,False
2025-11-07,Friday,09:10,81.2,11.08,550,9,5,4,False,2025,11,November,45,4,5,True,0.04,-1.05,medium,False
2025-11-10,Monday,08:30,68.9,13.06,510,8,1,0,False,2025,11,November,46,4,5,True,1.37,0.93,high,False
2025-11-10,Monday,08:40,71.9,12.5,520,8,2,0,False,2025,11,November,46,4,5,True,0.81,0.37,high,False
2025-11-10,Monday,08:50,73.6,12.2,530,8,3,0,False,2025,11,November,46,4,5,True,0.51,0.07,high,False
2025-11-10,Monday,09:00,75.7,11.88,540,9,4,0,False,2025,11,November,46,4,5,True,0.19,-0.25,medium,False
2025-11-10,Monday,09:10,75.5,11.92,550,9,5,0,False,2025,11,November,46,4,5,True,0.23,-0.21,medium,False
2025-11-11,Tuesday,08:30,54.8,16.42,510,8,1,1,False,2025,11,November,46,4,5,True,3.18,4.29,high,True
2025-11-11,Tuesday,08:40,55.8,16.13,520,8,2,1,False,2025,11,November,46,4,5,True,2.89,4.0,high,True
2025-11-11,Tuesday,08:50,66.7,13.48,530,8,3,1,False,2025,11,November,46,4,5,True,0.24,1.35,high,False
2025-11-11,Tuesday,09:00,76.7,11.73,540,9,4,1,False,2025,11,November,46,4,5,True,-1.51,-0.4,medium,False
2025-11-11,Tuesday,09:10,75.2,11.97,550,9,5,1,False,2025,11,November,46,4,5,True,-1.27,-0.16,medium,False
2025-11-12,Wednesday,08:30,52.4,17.18,510,8,1,2,False,2025,11,November,46,4,5,True,4.53,5.05,high,True
2025-11-12,Wednesday,08:40,51.8,17.38,520,8,2,2,False,2025,11,November,46,4,5,True,4.73,5.25,high,True
2025-11-12,Wednesday,08:50,60.5,14.87,530,8,3,2,False,2025,11,November,46,4,5,True,2.22,2.74,high,False
2025-11-12,Wednesday,09:00,68.7,13.1,540,9,4,2,False,2025,11,November,46,4,5,True,0.45,0.97,high,False
2025-11-12,Wednesday,09:10,67.1,13.42,550,9,5,2,False,2025,11,November,46,4,5,True,0.77,1.29,high,False
2025-11-13,Thursday,08:30,60.1,14.97,510,8,1,3,False,2025,11,November,46,4,5,True,2.85,2.84,high,False
2025-11-13,Thursday,08:40,57.4,15.67,520,8,2,3,False,2025,11,November,46,4,5,True,3.55,3.54,high,False
2025-11-13,Thursday,08:50,62.6,14.38,530,8,3,3,False,2025,11,November,46,4,5,True,2.26,2.25,high,False
2025-11-13,Thursday,09:00,68.7,13.1,540,9,4,3,False,2025,11,November,46,4,5,True,0.98,0.97,high,False
2025-11-13,Thursday,09:10,65.7,13.7,550,9,5,3,False,2025,11,November,46,4,5,True,1.58,1.57,high,False
2025-11-14,Friday,08:30,74.2,12.13,510,8,1,4,False,2025,11,November,46,4,5,True,1.09,0.0,medium,False
2025-11-14,Friday,08:40,72.6,12.4,520,8,2,4,False,2025,11,November,46,4,5,True,1.36,0.27,high,False
2025-11-14,Friday,08:50,75.7,11.88,530,8,3,4,False,2025,11,November,46,4,5,True,0.84,-0.25,medium,False
2025-11-14,Friday,09:00,78.8,11.42,540,9,4,4,False,2025,11,November,46,4,5,True,0.38,-0.71,medium,False
2025-11-14,Friday,09:10,81.0,11.12,550,9,5,4,False,2025,11,November,46,4,5,True,0.08,-1.01,medium,False
2025-11-17,Monday,08:30,47.0,19.15,510,8,1,0,False,2025,11,November,47,4,5,True,7.46,7.02,high,True
2025-11-17,Monday,08:40,45.3,19.87,520,8,2,0,False,2025,11,November,47,4,5,True,8.18,7.74,high,True
2025-11-17,Monday,08:50,54.7,16.47,530,8,3,0,False,2025,11,November,47,4,5,True,4.78,4.34,high,True
2025-11-17,Monday,09:00,49.4,18.22,540,9,4,0,False,2025,11,November,47,4,5,True,6.53,6.09,high,True
2025-11-17,Monday,09:10,66.7,13.48,550,9,5,0,False,2025,11,November,47,4,5,True,1.79,1.35,high,False
2025-11-18,Tuesday,08:30,33.5,26.85,510,8,1,1,False,2025,11,November,47,4,5,True,13.61,14.72,high,True
2025-11-18,Tuesday,08:40,33.3,27.05,520,8,2,1,False,2025,11,November,47,4,5,True,13.81,14.92,high,True
2025-11-18,Tuesday,08:50,34.0,26.47,530,8,3,1,False,2025,11,November,47,4,5,True,13.23,14.34,high,True
2025-11-18,Tuesday,09:00,37.5,24.0,540,9,4,1,False,2025,11,November,47,4,5,True,10.76,11.87,high,True
2025-11-18,Tuesday,09:10,44.6,20.17,550,9,5,1,False,2025,11,November,47,4,5,True,6.93,8.04,high,True
2025-11-19,Wednesday,08:30,39.3,22.88,510,8,1,2,False,2025,11,November,47,4,5,True,10.23,10.75,high,True
2025-11-19,Wednesday,08:40,49.2,18.3,520,8,2,2,False,2025,11,November,47,4,5,True,5.65,6.17,high,True
2025-11-19,Wednesday,08:50,53.1,16.93,530,8,3,2,False,2025,11,November,47,4,5,True,4.28,4.8,high,True
2025-11-19,Wednesday,09:00,56.0,16.07,540,9,4,2,False,2025,11,November,47,4,5,True,3.42,3.94,high,False
2025-11-19,Wednesday,09:10,67.2,13.4,550,9,5,2,False,2025,11,November,47,4,5,True,0.75,1.27,high,False
2025-11-20,Thursday,08:30,65.9,13.65,510,8,1,3,False,2025,11,November,47,4,5,True,1.53,1.52,high,False
2025-11-20,Thursday,08:40,73.4,12.27,520,8,2,3,False,2025,11,November,47,4,5,True,0.15,0.14,high,False
2025-11-20,Thursday,08:50,79.3,11.35,530,8,3,3,False,2025,11,November,47,4,5,True,-0.77,-0.78,medium,False
2025-11-20,Thursday,09:00,75.8,11.87,540,9,4,3,False,2025,11,November,47,4,5,True,-0.25,-0.26,medium,False
2025-11-20,Thursday,09:10,76.6,11.75,550,9,5,3,False,2025,11,November,47,4,5,True,-0.37,-0.38,medium,False
2025-11-21,Friday,08:30,69.0,13.05,510,8,1,4,False,2025,11,November,47,4,5,True,2.01,0.92,high,False
2025-11-21,Friday,08:40,72.7,12.38,520,8,2,4,False,2025,11,November,47,4,5,True,1.34,0.25,high,False
2025-11-21,Friday,08:50,74.1,12.15,530,8,3,4,False,2025,11,November,47,4,5,True,1.11,0.02,medium,False
2025-11-21,Friday,09:00,77.4,11.63,540,9,4,4,False,2025,11,November,47,4,5,True,0.59,-0.5,medium,False
2025-11-21,Friday,09:10,74.0,12.17,550,9,5,4,False,2025,11,November,47,4,5,True,1.13,0.04,medium,False
2025-11-24,Monday,08:30,75.6,11.9,510,8,1,0,False,2025,11,November,48,4,5,True,0.21,-0.23,medium,False
2025-11-24,Monday,08:40,74.7,12.05,520,8,2,0,False,2025,11,November,48,4,5,True,0.36,-0.08,medium,False
2025-11-24,Monday,08:50,77.3,11.65,530,8,3,0,False,2025,11,November,48,4,5,True,-0.04,-0.48,medium,False
2025-11-24,Monday,09:00,78.3,11.5,540,9,4,0,False,2025,11,November,48,4,5,True,-0.19,-0.63,medium,False
2025-11-24,Monday,09:10,71.5,12.58,550,9,5,0,False,2025,11,November,48,4,5,True,0.89,0.45,high,False
2025-11-25,Tuesday,08:30,65.1,13.83,510,8,1,1,False,2025,11,November,48,4,5,True,0.59,1.7,high,False
2025-11-25,Tuesday,08:40,70.5,12.77,520,8,2,1,False,2025,11,November,48,4,5,True,-0.47,0.64,high,False
2025-11-25,Tuesday,08:50,74.3,12.12,530,8,3,1,False,2025,11,November,48,4,5,True,-1.12,-0.01,medium,False
2025-11-25,Tuesday,09:00,75.8,11.87,540,9,4,1,False,2025,11,November,48,4,5,True,-1.37,-0.26,medium,False
2025-11-25,Tuesday,09:10,83.5,10.78,550,9,5,1,False,2025,11,November,48,4,5,True,-2.46,-1.35,low,False
2025-11-26,Wednesday,08:30,73.0,12.33,510,8,1,2,False,2025,11,November,48,4,5,True,-0.32,0.2,high,False
2025-11-26,Wednesday,08:40,75.6,11.9,520,8,2,2,False,2025,11,November,48,4,5,True,-0.75,-0.23,medium,False
2025-11-26,Wednesday,08:50,79.4,11.33,530,8,3,2,False,2025,11,November,48,4,5,True,-1.32,-0.8,medium,False
2025-11-26,Wednesday,09:00,81.3,11.07,540,9,4,2,False,2025,11,November,48,4,5,True,-1.58,-1.06,medium,False
2025-11-26,Wednesday,09:10,81.8,11.0,550,9,5,2,False,2025,11,November,48,4,5,True,-1.65,-1.13,medium,False
2025-11-27,Thursday,08:30,92.5,9.73,510,8,1,3,False,2025,11,November,48,4,5,True,-2.39,-2.4,low,False
2025-11-27,Thursday,08:40,92.2,9.77,520,8,2,3,False,2025,11,November,48,4,5,True,-2.35,-2.36,low,False
2025-11-27,Thursday,08:50,91.7,9.82,530,8,3,3,False,2025,11,November,48,4,5,True,-2.3,-2.31,low,False
2025-11-27,Thursday,09:00,90.8,9.92,540,9,4,3,False,2025,11,November,48,4,5,True,-2.2,-2.21,low,False
2025-11-27,Thursday,09:10,90.3,9.97,550,9,5,3,False,2025,11,November,48,4,5,True,-2.15,-2.16,low,False
2025-11-28,Friday,08:30,92.8,9.7,510,8,1,4,False,2025,11,November,48,4,5,True,-1.34,-2.43,low,False
2025-11-28,Friday,08:40,92.3,9.75,520,8,2,4,False,2025,11,November,48,4,5,True,-1.29,-2.38,low,False
2025-11-28,Friday,08:50,91.7,9.82,530,8,3,4,False,2025,11,November,48,4,5,True,-1.22,-2.31,low,False
2025-11-28,Friday,09:00,91.1,9.88,540,9,4,4,False,2025,11,November,48,4,5,True,-1.16,-2.25,low,False
2025-11-28,Friday,09:10,90.8,9.92,550,9,5,4,False,2025,11,November,48,4,5,True,-1.12,-2.21,low,False
2025-12-01,Monday,08:30,64.4,13.98,510,8,1,0,False,2025,12,December,49,4,5,True,2.29,1.85,high,False
2025-12-01,Monday,08:40,73.8,12.2,520,8,2,0,False,2025,12,December,49,4,5,True,0.51,0.07,high,False
2025-12-01,Monday,08:50,75.2,11.97,530,8,3,0,False,2025,12,December,49,4,5,True,0.28,-0.16,medium,False
2025-12-01,Monday,09:00,78.9,11.4,540,9,4,0,False,2025,12,December,49,4,5,True,-0.29,-0.73,medium,False
2025-12-01,Monday,09:10,76.2,11.82,550,9,5,0,False,2025,12,December,49,4,5,True,0.13,-0.31,medium,False
2025-12-02,Tuesday,08:30,85.6,10.52,510,8,1,1,False,2025,12,December,49,4,5,True,-2.72,-1.61,low,False
2025-12-02,Tuesday,08:40,65.9,13.65,520,8,2,1,False,2025,12,December,49,4,5,True,0.41,1.52,high,False
2025-12-02,Tuesday,08:50,70.5,12.77,530,8,3,1,False,2025,12,December,49,4,5,True,-0.47,0.64,high,False
2025-12-02,Tuesday,09:00,85.3,10.55,540,9,4,1,False,2025,12,December,49,4,5,True,-2.69,-1.58,low,False
2025-12-02,Tuesday,09:10,89.1,10.1,550,9,5,1,False,2025,12,December,49,4,5,True,-3.14,-2.03,low,False
2025-12-03,Wednesday,08:30,54.0,16.67,510,8,1,2,False,2025,12,December,49,4,5,True,4.02,4.54,high,True
2025-12-03,Wednesday,08:40,54.1,16.65,520,8,2,2,False,2025,12,December,49,4,5,True,4.0,4.52,high,True
2025-12-03,Wednesday,08:50,54.7,16.47,530,8,3,2,False,2025,12,December,49,4,5,True,3.82,4.34,high,True
2025-12-03,Wednesday,09:00,62.1,14.5,540,9,4,2,False,2025,12,December,49,4,5,True,1.85,2.37,high,False
2025-12-03,Wednesday,09:10,72.3,12.45,550,9,5,2,False,2025,12,December,49,4,5,True,-0.2,0.32,high,False
2025-12-04,Thursday,08:30,55.8,16.13,510,8,1,3,False,2025,12,December,49,4,5,True,4.01,4.0,high,True
2025-12-04,Thursday,08:40,57.0,15.78,520,8,2,3,False,2025,12,December,49,4,5,True,3.66,3.65,high,False
2025-12-04,Thursday,08:50,64.3,14.0,530,8,3,3,False,2025,12,December,49,4,5,True,1.88,1.87,high,False
2025-12-04,Thursday,09:00,73.6,12.23,540,9,4,3,False,2025,12,December,49,4,5,True,0.11,0.1,high,False
2025-12-04,Thursday,09:10,79.8,11.28,550,9,5,3,False,2025,12,December,49,4,5,True,-0.84,-0.85,medium,False
2025-12-05,Friday,08:30,80.2,11.22,510,8,1,4,False,2025,12,December,49,4,5,True,0.18,-0.91,medium,False
2025-12-05,Friday,08:40,79.5,11.32,520,8,2,4,False,2025,12,December,49,4,5,True,0.28,-0.81,medium,False
2025-12-05,Friday,08:50,78.5,11.47,530,8,3,4,False,2025,12,December,49,4,5,True,0.43,-0.66,medium,False
2025-12-05,Friday,09:00,75.9,11.85,540,9,4,4,False,2025,12,December,49,4,5,True,0.81,-0.28,medium,False
2025-12-05,Friday,09:10,79.6,11.3,550,9,5,4,False,2025,12,December,49,4,5,True,0.26,-0.83,medium,False
2025-12-08,Monday,08:30,61.3,14.68,510,8,1,0,False,2025,12,December,50,4,5,True,2.99,2.55,high,False
2025-12-08,Monday,08:40,65.5,13.75,520,8,2,0,False,2025,12,December,50,4,5,True,2.06,1.62,high,False
2025-12-08,Monday,08:50,77.3,11.65,530,8,3,0,False,2025,12,December,50,4,5,True,-0.04,-0.48,medium,False
2025-12-08,Monday,09:00,74.7,12.05,540,9,4,0,False,2025,12,December,50,4,5,True,0.36,-0.08,medium,False
2025-12-08,Monday,09:10,79.4,11.33,550,9,5,0,False,2025,12,December,50,4,5,True,-0.36,-0.8,medium,False
2025-12-09,Tuesday,08:30,46.1,19.53,510,8,1,1,False,2025,12,December,50,4,5,True,6.29,7.4,high,True
2025-12-09,Tuesday,08:40,44.6,20.17,520,8,2,1,False,2025,12,December,50,4,5,True,6.93,8.04,high,True
2025-12-09,Tuesday,08:50,50.6,17.78,530,8,3,1,False,2025,12,December,50,4,5,True,4.54,5.65,high,True
2025-12-09,Tuesday,09:00,52.5,17.15,540,9,4,1,False,2025,12,December,50,4,5,True,3.91,5.02,high,True
2025-12-09,Tuesday,09:10,72.1,12.48,550,9,5,1,False,2025,12,December,50,4,5,True,-0.76,0.35,high,False
2025-12-10,Wednesday,08:30,40.0,22.5,510,8,1,2,False,2025,12,December,50,4,5,True,9.85,10.37,high,True
2025-12-10,Wednesday,08:40,41.2,21.83,520,8,2,2,False,2025,12,December,50,4,5,True,9.18,9.7,high,True
2025-12-10,Wednesday,08:50,58.5,15.38,530,8,3,2,False,2025,12,December,50,4,5,True,2.73,3.25,high,False
2025-12-10,Wednesday,09:00,68.4,13.17,540,9,4,2,False,2025,12,December,50,4,5,True,0.52,1.04,high,False
2025-12-10,Wednesday,09:10,72.3,12.45,550,9,5,2,False,2025,12,December,50,4,5,True,-0.2,0.32,high,False
